,ML
2021-07-30 19:00:00,0.6596800556171114
2021-07-30 20:00:00,0.6514781074207411
2021-07-30 21:00:00,0.6442741582875002
2021-07-30 22:00:00,0.6402879409943698
2021-07-30 23:00:00,0.6322577404781997
2021-07-31 00:00:00,0.7280902970212667
2021-07-31 01:00:00,0.717928587300221
2021-07-31 02:00:00,0.7078126751053875
2021-07-31 03:00:00,0.6967522823523773
2021-07-31 04:00:00,0.6864265621994295
2021-07-31 05:00:00,0.6797981646128332
2021-07-31 06:00:00,0.6713269338967373
2021-07-31 07:00:00,0.6474927295713098
2021-07-31 08:00:00,0.6481859341602834
2021-07-31 09:00:00,0.6456964354596729
2021-07-31 10:00:00,0.6484560178648276
2021-07-31 11:00:00,0.6551289585612238
2021-07-31 12:00:00,0.643987782633612
2021-07-31 13:00:00,0.6640629925412281
2021-07-31 14:00:00,0.695909087079451
2021-07-31 15:00:00,0.7273518358486339
2021-07-31 16:00:00,0.7638279618653905
2021-07-31 17:00:00,0.7857788512951206
2021-07-31 18:00:00,0.8058640542456946
2021-07-31 19:00:00,1.0171734670270691
2021-07-31 20:00:00,1.0221663747600596
2021-07-31 21:00:00,1.0257758162688628
2021-07-31 22:00:00,1.0205225350833123
2021-07-31 23:00:00,1.039455111792504
2021-08-01 00:00:00,0.8913657554623166
2021-08-01 01:00:00,0.9529226465227961
2021-08-01 02:00:00,0.9399750100457726
2021-08-01 03:00:00,0.947929436841258
2021-08-01 04:00:00,0.9290705860816669
2021-08-01 05:00:00,0.9882360620102447
2021-08-01 06:00:00,0.9845195890239539
2021-08-01 07:00:00,0.9750719397588207
2021-08-01 08:00:00,0.9906379908690467
2021-08-01 09:00:00,0.9836959763480823
2021-08-01 10:00:00,0.9645705163424855
2021-08-01 11:00:00,1.0534777194095957
2021-08-01 12:00:00,1.0667340545652948
2021-08-01 13:00:00,1.0602866926712455
2021-08-01 14:00:00,0.9843197899757762
2021-08-01 15:00:00,0.9829497064462142
2021-08-01 16:00:00,1.0122464190984048
2021-08-01 17:00:00,1.0226433251320408
2021-08-01 18:00:00,0.9860922572980458
2021-08-01 19:00:00,0.9594436742577025
2021-08-01 20:00:00,0.953292952553478
2021-08-01 21:00:00,0.9717431439914356
2021-08-01 22:00:00,0.9711859422489985
2021-08-01 23:00:00,0.9960893292460943
2021-08-02 00:00:00,0.9993766117130406
2021-08-02 01:00:00,0.9827271421769824
2021-08-02 02:00:00,0.9699123100377712
2021-08-02 03:00:00,0.9459700460748134
2021-08-02 04:00:00,0.8897034375956027
2021-08-02 05:00:00,0.8829398179227078
2021-08-02 06:00:00,0.8250492600521041
2021-08-02 07:00:00,0.76414124867273
2021-08-02 08:00:00,0.7596413825392515
2021-08-02 09:00:00,0.7852892417632521
2021-08-02 10:00:00,0.5470844722628315
2021-08-02 11:00:00,0.5382984500751739
2021-08-02 12:00:00,0.7545072695286926
2021-08-02 13:00:00,0.7507578324942502
2021-08-02 14:00:00,0.7567920668533727
2021-08-02 15:00:00,0.7688665141628327
2021-08-02 16:00:00,0.7829697157204224
2021-08-02 17:00:00,0.7768277016745294
2021-08-02 18:00:00,0.8310768237325646
2021-08-02 19:00:00,0.875224095941136
2021-08-02 20:00:00,0.9905167724158427
2021-08-02 21:00:00,1.049218278130417
2021-08-02 22:00:00,1.0721352347794564
2021-08-02 23:00:00,1.0947894930001894
2021-08-03 00:00:00,1.0261236822565243
2021-08-03 01:00:00,1.0394129773063872
2021-08-03 02:00:00,1.0422393983494995
2021-08-03 03:00:00,1.0384585964566255
2021-08-03 04:00:00,1.0334084853882042
2021-08-03 05:00:00,1.0379991834312208
2021-08-03 06:00:00,1.0798282278297016
2021-08-03 07:00:00,1.1671730904080013
2021-08-03 08:00:00,1.251631683224952
2021-08-03 09:00:00,1.2889071049139733
2021-08-03 10:00:00,1.2998319064576846
2021-08-03 11:00:00,1.3137934507391749
2021-08-03 12:00:00,1.2450260012974705
2021-08-03 13:00:00,1.2620953588418786
2021-08-03 14:00:00,1.280404085478758
2021-08-03 15:00:00,1.3029249950310415
2021-08-03 16:00:00,1.3277593742437996
2021-08-03 17:00:00,1.3529015593163725
2021-08-03 18:00:00,1.371274503852779
2021-08-03 19:00:00,1.3859015878955037
2021-08-03 20:00:00,1.390781425259279
2021-08-03 21:00:00,1.3820312236635914
2021-08-03 22:00:00,1.368960679056854
2021-08-03 23:00:00,1.3468066800553748
2021-08-04 00:00:00,1.3150517298427227
2021-08-04 01:00:00,1.3228693631512447
2021-08-04 02:00:00,1.3385556644790118
2021-08-04 03:00:00,1.3573966305622909
2021-08-04 04:00:00,1.3627956304677906
2021-08-04 05:00:00,1.3488800952775097
2021-08-04 06:00:00,1.3310563779567035
2021-08-04 07:00:00,1.305842341311368
2021-08-04 08:00:00,1.2744258337209442
2021-08-04 09:00:00,1.2531089665013389
2021-08-04 10:00:00,1.2258712877458828
2021-08-04 11:00:00,1.209722828662618
2021-08-04 12:00:00,1.1783765276468978
2021-08-04 13:00:00,1.1742721708503647
2021-08-04 14:00:00,1.1733237355622308
2021-08-04 15:00:00,1.1852455598677731
2021-08-04 16:00:00,1.204091051660425
2021-08-04 17:00:00,1.2281733577087788
2021-08-04 18:00:00,1.2427096658007375
2021-08-04 19:00:00,0.9212736853106028
2021-08-04 20:00:00,1.3730572858775902
2021-08-04 21:00:00,1.2895722310697244
2021-08-04 22:00:00,1.1601527124259092
2021-08-04 23:00:00,1.0714042417423497
2021-08-05 00:00:00,0.7948980458696603
2021-08-05 01:00:00,0.8037145968380258
2021-08-05 02:00:00,0.7650450645995915
2021-08-05 03:00:00,0.7628069043428364
2021-08-05 04:00:00,0.746018485242211
2021-08-05 05:00:00,0.7421795244644195
2021-08-05 06:00:00,0.7559170126084233
2021-08-05 07:00:00,0.7505262336560984
2021-08-05 08:00:00,0.7424943499629361
2021-08-05 09:00:00,0.7345895888748973
